Battery capacity (mAh),Screen size (inches),Resolution x,Resolution y,Processor,RAM (MB),Internal storage (GB),Rear camera,Front camera,Number of SIMs,Price,Touchscreen,Wi-Fi,Bluetooth,GPS,3G,4G/ LTE,Operating system_Android,Operating system_BlackBerry,Operating system_Cyanogen,Operating system_Sailfish,Operating system_Tizen,Operating system_Windows,Operating system_iOS,Brand_Alcatel,Brand_Apple,Brand_Asus,Brand_BlackBerry,Brand_Coolpad,Brand_Gionee,Brand_Google,Brand_HTC,Brand_Honor,Brand_Huawei,Brand_InFocus,Brand_Infinix,Brand_Intex,Brand_Itel,Brand_Karbonn,Brand_LG,Brand_Lava,Brand_Lenovo,Brand_Lyf,Brand_Meizu,Brand_Micromax,Brand_Motorola,Brand_Nokia,Brand_Nubia,Brand_OnePlus,Brand_Oppo,Brand_Other,Brand_Panasonic,Brand_Realme,Brand_Samsung,Brand_Sony,Brand_Swipe,Brand_Tecno,Brand_Videocon,Brand_Vivo,Brand_Xiaomi,Brand_Xolo,Brand_Yu,Brand_Zen,Brand_Ziox,Brand_Zopo,Brand_iBall,Brand_iVoomi
0.7995991983967935,0.8340425531914892,0.25,0.36363636363636365,0.7777777777777777,0.3297587131367292,0.12489061132641581,0.1111111111111111,0.16666666666666666,1.0,8999,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.19839679358717435,0.4042553191489362,0.125,0.15170454545454545,0.3333333333333333,0.07841823056300268,0.015501937742217779,0.046296296296296294,0.041666666666666664,1.0,6450,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18837675350701402,0.5106382978723405,0.125,0.15170454545454545,0.3333333333333333,0.07841823056300268,0.015501937742217779,0.046296296296296294,0.041666666666666664,1.0,4150,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.498997995991984,0.6170212765957448,0.25,0.2727272727272727,0.7777777777777777,0.16219839142091153,0.031128891111388925,0.12037037037037036,0.16666666666666666,1.0,4500,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.37474949899799603,0.5106382978723405,0.25,0.2727272727272727,0.1111111111111111,0.16219839142091153,0.031128891111388925,0.07407407407407407,0.041666666666666664,0.0,8300,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3186372745490982,0.6170212765957448,0.25,0.2727272727272727,0.7777777777777777,0.16219839142091153,0.031128891111388925,0.12037037037037036,0.16666666666666666,1.0,25999,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.43887775551102204,0.6170212765957448,0.4375,0.4545454545454545,0.7777777777777777,0.16219839142091153,0.031128891111388925,0.12037037037037036,0.10416666666666666,1.0,11936,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.5991983967935872,0.5106382978723405,0.25,0.2727272727272727,0.3333333333333333,0.07841823056300268,0.007688461057632204,0.07407407407407407,0.0062499999999999995,1.0,15410,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3987975951903808,0.6170212765957448,0.4375,0.4545454545454545,0.7777777777777777,0.24597855227882037,0.06238279784973122,0.12037037037037036,0.10416666666666666,0.0,4499,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.43887775551102204,0.6170212765957448,0.4375,0.4545454545454545,0.7777777777777777,0.3297587131367292,0.12489061132641581,0.12037037037037036,0.3333333333333333,1.0,11990,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2284569138276553,0.5106382978723405,0.25,0.2727272727272727,0.3333333333333333,0.07841823056300268,0.015501937742217779,0.07407407407407407,0.041666666666666664,1.0,3899,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26853707414829664,0.5106382978723405,0.125,0.15170454545454545,0.3333333333333333,0.07841823056300268,0.015501937742217779,0.046296296296296294,0.041666666666666664,1.0,5499,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2985971943887775,0.5106382978723405,0.25,0.2727272727272727,0.3333333333333333,0.16219839142091153,0.031128891111388925,0.07407407407407407,0.10416666666666666,1.0,4990,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2585170340681363,0.2978723404255319,0.125,0.13636363636363635,0.3333333333333333,0.07841823056300268,0.015501937742217779,0.046296296296296294,0.041666666666666664,0.0,2499,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.20841683366733468,0.46808510638297873,0.25,0.2727272727272727,0.7777777777777777,0.07841823056300268,0.031128891111388925,0.07407407407407407,0.10416666666666666,0.0,5499,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.18236472945891782,0.5106382978723405,0.25,0.2727272727272727,0.7777777777777777,0.16219839142091153,0.031128891111388925,0.07407407407407407,0.041666666666666664,1.0,5499,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.2585170340681363,0.5106382978723405,0.4375,0.4545454545454545,0.7777777777777777,0.16219839142091153,0.031128891111388925,0.12037037037037036,0.10416666666666666,1.0,3238,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.7995991983967935,0.7872340425531914,0.4375,0.5738636363636364,0.7777777777777777,0.24597855227882037,0.06238279784973122,0.12037037037037036,0.16666666666666666,1.0,9999,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3987975951903808,0.5106382978723405,0.125,0.15170454545454545,0.3333333333333333,0.07841823056300268,0.015501937742217779,0.046296296296296294,0.041666666666666664,1.0,4006,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.7995991983967935,0.6170212765957448,0.4375,0.4545454545454545,0.7777777777777777,0.24597855227882037,0.06238279784973122,0.12037037037037036,0.2708333333333333,1.0,11999,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
